S.No,Name,CMP Rs,PE,Mar Cap Rs Cr,Div Yld %,NP Qtr Rs Cr,Qtr Profit Var %,Sales Qtr Rs Cr,Qtr Sales Var %,ROCE %
318,Affle 3i,1629.70,54.65,22926.15,0.00,110.51,20.13,646.72,19.13,16.82
319,Bandhan Bank,141.70,18.57,22827.47,1.06,111.87,-88.07,5353.83,-2.65,7.82
320,Piramal Pharma,171.65,,22816.50,0.08,-99.22,-539.22,2043.72,-8.83,6.45
321,Sumitomo Chemi.,456.60,42.13,22791.03,0.25,177.90,-6.78,914.44,-5.86,25.14
322,Hatsun Agro,1023.15,63.48,22790.49,0.58,120.18,86.85,2381.32,14.92,13.12
323,Timken India,3029.60,50.12,22788.28,1.19,89.47,-0.53,772.99,2.67,20.93
324,Sagility,48.51,28.36,22709.11,0.10,250.83,113.76,1658.50,25.17,9.58
325,Astrazeneca Phar,9030.55,97.68,22576.39,0.35,54.22,51.26,559.09,37.03,33.40
326,Angel One,2479.95,28.85,22527.71,1.89,211.73,-49.99,1201.76,-20.66,25.80
327,CESC,168.15,15.36,22289.47,3.54,445.00,20.40,5267.00,12.06,11.23
328,HBL Engineering,800.75,33.54,22196.37,0.12,387.26,364.85,1222.90,134.74,27.33
329,Shyam Metalics,792.20,22.79,22112.80,0.54,260.45,21.47,4457.02,22.65,12.05
330,Force Motors,16778.40,26.96,22107.66,0.23,350.70,159.72,2081.40,7.22,29.99
331,ERIS Lifescience,1619.35,53.04,22058.35,0.44,134.47,31.23,792.41,6.91,12.22
332,Jyoti CNC Auto.,960.80,63.14,21850.87,0.00,85.50,12.68,507.90,17.93,24.35
333,Sun TV Network,553.00,13.15,21792.88,2.67,354.69,-13.42,1299.87,38.92,20.40
334,Wockhardt,1331.30,394.26,21632.51,0.00,82.00,454.55,782.00,-3.34,3.75
335,Redington,275.90,15.80,21569.17,2.42,350.20,32.42,29075.61,16.79,18.90
336,Brigade Enterpr.,879.20,26.99,21496.29,0.29,170.28,36.58,1383.37,29.03,13.34
